filename, language, JSON, YAML, Properties, XML, PHP, JavaScript, Markdown, CSS, SCSS, SVG, HTML, comment, blank, total
c:\laragon\www\cms\Modules\Lang\package.json, JSON, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
c:\laragon\www\cms\Modules\Lang\webpack.mix.js, JavaScript, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
c:\laragon\www\cms\Modules\Portfolio\Config\config.php, PHP, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
c:\laragon\www\cms\Modules\Portfolio\Database\Migrations\2020_03_03_190559_create_portfolio_items_table.php, PHP, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 10, 8, 45
c:\laragon\www\cms\Modules\Portfolio\Database\Migrations\2020_03_03_194118_create_portfolio_pictures.php, PHP, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
c:\laragon\www\cms\Modules\Portfolio\Database\Seeders\PortfolioDatabaseSeeder.php, PHP, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 5, 22
c:\laragon\www\cms\Modules\Portfolio\Entities\PortfolioItem.php, PHP, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 2, 12, 55
c:\laragon\www\cms\Modules\Portfolio\Entities\PortfolioItemPicture.php, PHP, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
c:\laragon\www\cms\Modules\Portfolio\Events\PortfolioItemCreateEvent.php, PHP, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 11, 6, 31
c:\laragon\www\cms\Modules\Portfolio\Events\PortfolioItemDestroyEvent.php, PHP, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 11, 6, 31
c:\laragon\www\cms\Modules\Portfolio\Events\PortfolioItemUpdateEvent.php, PHP, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
c:\laragon\www\cms\Modules\Portfolio\Http\Controllers\PortfolioApiController.php, PHP, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 29, 13, 77
c:\laragon\www\cms\Modules\Portfolio\Http\Controllers\PortfolioController.php, PHP, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 4, 27, 103
c:\laragon\www\cms\Modules\Portfolio\Http\Utilities\TableData.php, PHP, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
c:\laragon\www\cms\Modules\Portfolio\Listeners\PortfolioItemUpdateThumbnailListener.php, PHP, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
c:\laragon\www\cms\Modules\Portfolio\Providers\PortfolioServiceProvider.php, PHP, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 35, 14, 107
c:\laragon\www\cms\Modules\Portfolio\Providers\RouteServiceProvider.php, PHP, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 31, 9, 70
c:\laragon\www\cms\Modules\Portfolio\Resources\assets\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\laragon\www\cms\Modules\Portfolio\Resources\assets\sass\app.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\laragon\www\cms\Modules\Portfolio\Resources\views\create.blade.php, PHP, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 23, 148
